,sum,id,name,pos
35,65,GLRLM,glrlm_RunPercentage,0
34,63,GLRLM,glrlm_RunLengthNonUniformityNormalized,1
37,63,GLRLM,glrlm_ShortRunEmphasis,2
12,61,GLCM,glcm_Idn,3
15,61,GLCM,glcm_InverseVariance,4
10,60,GLCM,glcm_Idm,5
6,60,GLCM,glcm_DifferenceAverage,6
9,60,GLCM,glcm_Id,7
28,59,GLRLM,glrlm_LongRunEmphasis,8
36,58,GLRLM,glrlm_RunVariance,9
7,56,GLCM,glcm_DifferenceEntropy,10
4,56,GLCM,glcm_Contrast,11
8,54,GLCM,glcm_DifferenceVariance,12
18,53,GLCM,glcm_JointEntropy,13
22,52,GLCM,glcm_SumEntropy,14
17,51,GLCM,glcm_JointEnergy,15
24,50,GLRLM,glrlm_GrayLevelNonUniformity,16
20,50,GLCM,glcm_MaximumProbability,17
25,49,GLRLM,glrlm_GrayLevelNonUniformityNormalized,18
23,47,GLCM,glcm_SumSquares,19
30,47,GLRLM,glrlm_LongRunLowGrayLevelEmphasis,20
3,45,GLCM,glcm_ClusterTendency,21
26,45,GLRLM,glrlm_GrayLevelVariance,22
33,41,GLRLM,glrlm_RunLengthNonUniformity,23
55,40,GLSZM,glszm_ZoneVariance,24
1,39,GLCM,glcm_ClusterProminence,25
38,38,GLRLM,glrlm_ShortRunHighGrayLevelEmphasis,26
32,36,GLRLM,glrlm_RunEntropy,27
44,36,GLSZM,glszm_LargeAreaEmphasis,28
21,34,GLCM,glcm_SumAverage,29
58,34,NGTDM,ngtdm_Complexity,30
16,34,GLCM,glcm_JointAverage,31
59,33,NGTDM,ngtdm_Contrast,32
0,32,GLCM,glcm_Autocorrelation,33
13,31,GLCM,glcm_Imc1,34
60,30,NGTDM,ngtdm_Strength,35
27,30,GLRLM,glrlm_HighGrayLevelRunEmphasis,36
56,27,NGTDM,ngtdm_Busyness,37
31,26,GLRLM,glrlm_LowGrayLevelRunEmphasis,38
45,25,GLSZM,glszm_LargeAreaHighGrayLevelEmphasis,39
46,25,GLSZM,glszm_LargeAreaLowGrayLevelEmphasis,40
54,25,GLSZM,glszm_ZonePercentage,41
42,23,GLSZM,glszm_GrayLevelVariance,42
19,23,GLCM,glcm_MCC,43
5,22,GLCM,glcm_Correlation,44
14,22,GLCM,glcm_Imc2,45
53,21,GLSZM,glszm_ZoneEntropy,46
43,20,GLSZM,glszm_HighGrayLevelZoneEmphasis,47
57,20,NGTDM,ngtdm_Coarseness,48
49,20,GLSZM,glszm_SizeZoneNonUniformityNormalized,49
11,19,GLCM,glcm_Idmn,50
39,16,GLRLM,glrlm_ShortRunLowGrayLevelEmphasis,51
50,16,GLSZM,glszm_SmallAreaEmphasis,52
29,16,GLRLM,glrlm_LongRunHighGrayLevelEmphasis,53
52,15,GLSZM,glszm_SmallAreaLowGrayLevelEmphasis,54
51,14,GLSZM,glszm_SmallAreaHighGrayLevelEmphasis,55
47,12,GLSZM,glszm_LowGrayLevelZoneEmphasis,56
48,11,GLSZM,glszm_SizeZoneNonUniformity,57
40,9,GLSZM,glszm_GrayLevelNonUniformity,58
2,9,GLCM,glcm_ClusterShade,59
41,7,GLSZM,glszm_GrayLevelNonUniformityNormalized,60
